Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
55,qualification,2023-03-27 23:24:00 -0400 EDT,4920,false,8729,false,1241,false,6397,false,7558,false,4152,false
56,qualification,2023-03-27 23:30:00 -0400 EDT,9127,false,1114,false,6987,false,771,false,1325,false,4917,false
57,qualification,2023-03-27 23:36:00 -0400 EDT,5036,false,4951,false,2935,false,5032,false,2609,false,7022,false
58,qualification,2023-03-27 23:42:00 -0400 EDT,5885,false,8731,false,9113,false,6864,false,8089,false,6514,false
59,qualification,2023-03-27 23:48:00 -0400 EDT,2708,false,5596,false,5024,false,610,false,4343,false,9263,false
60,qualification,2023-03-27 23:54:00 -0400 EDT,4907,false,2706,false,772,false,6141,false,5870,false,2013,false
61,qualification,2023-03-28 00:00:00 -0400 EDT,7603,false,8850,false,7690,false,781,false,7659,false,2056,false
62,qualification,2023-03-28 00:06:00 -0400 EDT,7476,false,1285,false,1310,false,2200,false,5834,false,3739,false
63,qualification,2023-03-28 00:12:00 -0400 EDT,8081,false,3543,false,3683,false,5409,false,5406,false,4069,false
64,qualification,2023-03-28 00:18:00 -0400 EDT,1305,false,4039,false,7712,false,7480,false,1374,false,2702,false
65,qualification,2023-03-28 00:24:00 -0400 EDT,865,false,7757,false,4678,false,6859,false,9098,false,8349,false
66,qualification,2023-03-28 00:30:00 -0400 EDT,5031,false,7475,false,2852,false,5672,false,5719,false,9062,false
67,qualification,2023-03-28 00:36:00 -0400 EDT,4476,false,3756,false,9127,false,8764,false,6978,false,9113,false
68,qualification,2023-03-28 00:42:00 -0400 EDT,5024,false,8089,false,7603,false,2706,false,4951,false,1114,false
69,qualification,2023-03-28 00:48:00 -0400 EDT,5834,false,610,false,3161,false,4917,false,5036,false,6864,false
70,qualification,2023-03-28 00:54:00 -0400 EDT,2056,false,6141,false,4976,false,2708,false,8731,false,3683,false
71,qualification,2023-03-28 01:00:00 -0400 EDT,4920,false,1285,false,2702,false,5870,false,3543,false,1325,false
72,qualification,2023-03-28 01:06:00 -0400 EDT,1310,false,5885,false,5409,false,8850,false,7659,false,865,false
73,qualification,2023-03-28 01:12:00 -0400 EDT,1241,false,4343,false,5406,false,3739,false,1360,false,1305,false
74,qualification,2023-03-28 01:18:00 -0400 EDT,7475,false,7757,false,3756,false,4152,false,1374,false,5032,false
75,qualification,2023-03-28 01:24:00 -0400 EDT,8764,false,771,false,7022,false,2852,false,7712,false,6397,false
76,qualification,2023-03-28 01:30:00 -0400 EDT,4069,false,4476,false,4678,false,6987,false,4907,false,5719,false
77,qualification,2023-03-28 01:36:00 -0400 EDT,2935,false,9062,false,5031,false,7690,false,4039,false,8081,false
78,qualification,2023-03-28 01:42:00 -0400 EDT,772,false,781,false,6859,false,8729,false,7480,false,5596,false
79,qualification,2023-03-28 01:48:00 -0400 EDT,2609,false,2200,false,9263,false,5672,false,2013,false,6978,false
80,qualification,2023-03-28 01:54:00 -0400 EDT,8349,false,7476,false,6514,false,7558,false,4946,false,9098,false
81,qualification,2023-03-28 02:00:00 -0400 EDT,4917,false,7757,false,5870,false,8731,false,5406,false,8089,false
82,qualification,2023-03-28 02:06:00 -0400 EDT,1305,false,2852,false,3161,false,9127,false,2706,false,3543,false
83,qualification,2023-03-28 02:12:00 -0400 EDT,7475,false,1114,false,6141,false,4678,false,610,false,7712,false
84,qualification,2023-03-28 02:18:00 -0400 EDT,7659,false,5719,false,2935,false,6397,false,4951,false,1285,false
85,qualification,2023-03-28 02:24:00 -0400 EDT,4069,false,6987,false,7022,false,5834,false,2708,false,9113,false
86,qualification,2023-03-28 02:30:00 -0400 EDT,4343,false,8729,false,1374,false,8081,false,5036,false,8850,false
87,qualification,2023-03-28 02:36:00 -0400 EDT,771,false,6978,false,772,false,2056,false,865,false,5031,false
88,qualification,2023-03-28 02:42:00 -0400 EDT,4976,false,5032,false,8349,false,6864,false,1241,false,5024,false
89,qualification,2023-03-28 02:48:00 -0400 EDT,5596,false,2702,false,5672,false,7476,false,8764,false,7603,false
90,qualification,2023-03-28 02:54:00 -0400 EDT,2013,false,5409,false,3739,false,7558,false,4039,false,6859,false
91,qualification,2023-03-28 03:00:00 -0400 EDT,9263,false,3756,false,6514,false,781,false,4907,false,1310,false
92,qualification,2023-03-28 03:06:00 -0400 EDT,2200,false,4920,false,1325,false,1360,false,7690,false,9098,false
93,qualification,2023-03-28 03:12:00 -0400 EDT,9062,false,3683,false,5885,false,4476,false,7480,false,4152,false
94,qualification,2023-03-28 03:18:00 -0400 EDT,2609,false,1305,false,2056,false,4946,false,9113,false,8081,false
95,qualification,2023-03-28 03:24:00 -0400 EDT,7022,false,7712,false,3543,false,1241,false,5031,false,7757,false
96,qualification,2023-03-28 03:30:00 -0400 EDT,5024,false,8850,false,4976,false,2702,false,4917,false,5719,false
97,qualification,2023-03-28 03:36:00 -0400 EDT,5409,false,1374,false,6397,false,1114,false,3161,false,772,false
98,qualification,2023-03-28 03:42:00 -0400 EDT,2852,false,2013,false,7659,false,7475,false,5596,false,5834,false
99,qualification,2023-03-28 03:48:00 -0400 EDT,2200,false,6987,false,4039,false,610,false,5406,false,6859,false
100,qualification,2023-03-28 03:54:00 -0400 EDT,2935,false,9098,false,781,false,4152,false,3739,false,9127,false
101,qualification,2023-03-28 04:00:00 -0400 EDT,2609,false,3683,false,4946,false,9062,false,3756,false,2708,false
102,qualification,2023-03-28 04:06:00 -0400 EDT,1360,false,4907,false,5036,false,5672,false,8731,false,865,false
103,qualification,2023-03-28 04:12:00 -0400 EDT,2706,false,4920,false,7480,false,4678,false,771,false,7476,false
104,qualification,2023-03-28 04:18:00 -0400 EDT,8729,false,6141,false,4069,false,1310,false,1325,false,8089,false
105,qualification,2023-03-28 04:24:00 -0400 EDT,6864,false,7558,false,5870,false,8764,false,4951,false,4476,false
106,qualification,2023-03-28 04:30:00 -0400 EDT,6978,false,5032,false,7690,false,6514,false,1285,false,4343,false
107,qualification,2023-03-28 04:36:00 -0400 EDT,9263,false,5885,false,3739,false,7603,false,8349,false,6397,false
108,qualification,2023-03-28 04:42:00 -0400 EDT,5596,false,8081,false,3161,false,2702,false,1241,false,6987,false
109,qualification,2023-03-28 04:48:00 -0400 EDT,2852,false,6859,false,4907,false,2935,false,1374,false,5024,false
110,qualification,2023-03-28 04:54:00 -0400 EDT,4152,false,865,false,7476,false,7022,false,8731,false,1305,false
111,qualification,2023-03-28 05:00:00 -0400 EDT,9127,false,1310,false,7712,false,2013,false,5719,false,3683,false
112,qualification,2023-03-28 05:06:00 -0400 EDT,2708,false,781,false,4039,false,5672,false,4678,false,8089,false
113,qualification,2023-03-28 05:12:00 -0400 EDT,6864,false,771,false,4946,false,2200,false,4343,false,6141,false
114,qualification,2023-03-28 05:18:00 -0400 EDT,2706,false,5032,false,7603,false,6978,false,4917,false,7558,false
115,qualification,2023-03-28 05:24:00 -0400 EDT,5834,false,5406,false,4951,false,1325,false,5031,false,8850,false
116,qualification,2023-03-28 05:30:00 -0400 EDT,6514,false,7480,false,5036,false,4976,false,3756,false,4920,false
117,qualification,2023-03-28 05:36:00 -0400 EDT,8764,false,9263,false,1114,false,2056,false,4069,false,7475,false
118,qualification,2023-03-28 05:42:00 -0400 EDT,5885,false,9098,false,2609,false,772,false,1285,false,3543,false
119,qualification,2023-03-28 05:48:00 -0400 EDT,610,false,7690,false,5409,false,8729,false,7757,false,4476,false
120,qualification,2023-03-28 05:54:00 -0400 EDT,8349,false,5870,false,7659,false,9062,false,1360,false,9113,false
121,qualification,2023-03-28 06:00:00 -0400 EDT,5032,false,1241,false,8089,false,7476,false,5719,false,2200,false
122,qualification,2023-03-28 06:06:00 -0400 EDT,5024,false,5031,false,6397,false,4678,false,1305,false,2013,false
123,qualification,2023-03-28 06:12:00 -0400 EDT,8081,false,4951,false,6864,false,2852,false,3683,false,6514,false
124,qualification,2023-03-28 06:18:00 -0400 EDT,7475,false,7603,false,6859,false,2708,false,9127,false,5036,false
125,qualification,2023-03-28 06:24:00 -0400 EDT,1310,false,1374,false,7558,false,8731,false,2056,false,6987,false
126,qualification,2023-03-28 06:30:00 -0400 EDT,7690,false,2702,false,771,false,5834,false,4907,false,5885,false
127,qualification,2023-03-28 06:36:00 -0400 EDT,7659,false,7022,false,7480,false,3739,false,4946,false,1114,false
128,qualification,2023-03-28 06:42:00 -0400 EDT,1285,false,7757,false,781,false,4920,false,6141,false,3161,false
129,qualification,2023-03-28 06:48:00 -0400 EDT,4069,false,8764,false,610,false,8349,false,772,false,2935,false
130,qualification,2023-03-28 06:54:00 -0400 EDT,865,false,9062,false,5870,false,9263,false,1325,false,8729,false
131,qualification,2023-03-28 07:00:00 -0400 EDT,5406,false,7712,false,1360,false,5409,false,2609,false,5596,false
132,qualification,2023-03-28 07:06:00 -0400 EDT,4917,false,4476,false,4343,false,3756,false,4039,false,9098,false
133,qualification,2023-03-28 07:12:00 -0400 EDT,5672,false,8850,false,2706,false,3543,false,9113,false,4152,false
134,qualification,2023-03-28 07:18:00 -0400 EDT,6978,false,7476,false,6859,false,4976,false,6397,false,7659,false
135,qualification,2023-03-28 07:24:00 -0400 EDT,3683,false,5036,false,3739,false,771,false,7757,false,1305,false
136,qualification,2023-03-28 07:30:00 -0400 EDT,610,false,5031,false,8731,false,5032,false,9127,false,7480,false
137,qualification,2023-03-28 07:36:00 -0400 EDT,772,false,7558,false,1325,false,8081,false,7475,false,5024,false
138,qualification,2023-03-28 07:42:00 -0400 EDT,4678,false,8764,false,1374,false,9263,false,9062,false,5406,false
139,qualification,2023-03-28 07:48:00 -0400 EDT,4917,false,7022,false,4907,false,781,false,2200,false,8349,false
140,qualification,2023-03-28 07:54:00 -0400 EDT,5834,false,1114,false,4152,false,3543,false,6514,false,5719,false
141,qualification,2023-03-28 08:00:00 -0400 EDT,2702,false,8729,false,2013,false,4951,false,2056,false,1360,false
142,qualification,2023-03-28 08:06:00 -0400 EDT,2609,false,2708,false,1241,false,4476,false,1310,false,2706,false
143,qualification,2023-03-28 08:12:00 -0400 EDT,5870,false,4946,false,6978,false,4069,false,8850,false,4039,false
144,qualification,2023-03-28 08:18:00 -0400 EDT,7712,false,1285,false,6864,false,7603,false,6987,false,865,false
145,qualification,2023-03-28 08:24:00 -0400 EDT,5672,false,2935,false,3161,false,4920,false,5885,false,4343,false
146,qualification,2023-03-28 08:30:00 -0400 EDT,9113,false,6141,false,9098,false,4976,false,2852,false,5409,false
147,qualification,2023-03-28 08:36:00 -0400 EDT,5596,false,7690,false,8349,false,3756,false,8089,false,3543,false
148,qualification,2023-03-28 08:42:00 -0400 EDT,9127,false,772,false,8731,false,4678,false,2702,false,5834,false
149,qualification,2023-03-28 08:48:00 -0400 EDT,7659,false,2708,false,2706,false,8081,false,7757,false,2200,false
150,qualification,2023-03-28 08:54:00 -0400 EDT,3683,false,6397,false,1114,false,1360,false,5032,false,4039,false
151,qualification,2023-03-28 09:00:00 -0400 EDT,7475,false,1305,false,6987,false,4951,false,781,false,6978,false
152,qualification,2023-03-28 09:06:00 -0400 EDT,5024,false,7480,false,2056,false,5870,false,5672,false,4476,false
153,qualification,2023-03-28 09:12:00 -0400 EDT,4152,false,4946,false,1285,false,4917,false,9263,false,6859,false
154,qualification,2023-03-28 09:18:00 -0400 EDT,2013,false,6514,false,4069,false,1241,false,1374,false,771,false
155,qualification,2023-03-28 09:24:00 -0400 EDT,610,false,9062,false,9098,false,1310,false,7603,false,7022,false
156,qualification,2023-03-28 09:30:00 -0400 EDT,7712,false,9113,false,3161,false,8729,false,5406,false,7690,false
157,qualification,2023-03-28 09:36:00 -0400 EDT,4920,false,8850,false,8089,false,2852,false,3739,false,865,false
158,qualification,2023-03-28 09:42:00 -0400 EDT,4907,false,4343,false,8764,false,4976,false,5031,false,2609,false
159,qualification,2023-03-28 09:48:00 -0400 EDT,3756,false,2935,false,5409,false,6864,false,1325,false,7476,false
160,qualification,2023-03-28 09:54:00 -0400 EDT,5036,false,5596,false,5885,false,6141,false,5719,false,7558,false

